maincomm_code,Comm_code,Variety_code,Crop,Variety,Start_date,CostA1FL,CostC2,MSP 
1,2,,Paddy,All,1/4/2017,1343,1898,1550
1,30,,Ragi,All,1/4/2017,2349,3390,1900
1,5,7,Jowar,Jowar Hybrid,1/4/2017,2283,2980,1700
1,5,19,Jowar,Hybrid,1/4/2017,2283,2980,1700
1,5,2,Jowar,Jowar ( White),1/4/2017,2651,3725,1725
1,4,,Maize,,1/4/2017,1078,1504,1425
1,28,,Bajra,,1/4/2017,3195,3898,1425
2,49,,Tur,,1/4/2017,5493,117,5450
2,9,,Greengram,,1/4/2017,4379,5786,5575
2,8,,Blackgram,,1/4/2017,5482,6894,5400
2,6,,Bengal gram,,1/4/2017,4609,5775,4400
3,10,,Groundnut,,1/4/2017,4297,5729,4450
3,13,,Soybean,,1/4/2017,3541,4522,3050
3,14,,Sunflower,,1/4/2017,4619,5991,4100
4,15,,Cotton,,1/4/2017,4098,5454,4320
7,132,,Dry Chillies,,1/4/2017,6358,8678,
6,78,,Tomato,,1/4/2017,767,1009,
6,23,,Onion,,1/4/2017,745,1093,
6,24,,Potato,,1/4/2017,1499,1872,
5,19,12,Banana,Elakki Bale,1/4/2017,884,1914,
5,19,11,Banana,Pachha Bale,1/4/2017,285,1114,
5,22,4,Grapes,White,1/4/2017,1239,2317,
5,22,3,Grapes,Green,1/4/2017,1239,2317,
5,22,999,Grapes,Other,1/4/2017,4355,9217,
5,22,2,Grapes,Black,1/4/2017,931,1651,
5,190,,Pomagranate,,1/4/2017,1903,3298,
5,20,,Mango,,1/4/2017,972,1540,
10,37,,Coconut,,1/4/2017,8,13,
3,129,,Copra,,1/4/2017,7587,11174,7750
11,140,1,Arecanut,Red,1/4/2017,11744,22720,
11,140,2,Arecanut,White,1/4/2017,10095,20315,
7,27,,Ginger,,1/4/2017,1568,2094,
7,39,,Turmeric,,1/4/2017,2974,5416,
7,38,,Pepper,,1/4/2017,27110,43277,
1,2,,Paddy,,1/4/2018,1343,1898,1750
1,30,,Ragi,,1/4/2018,2349,3390,2897
1,5,7,Jowar,Jowar Hybrid,1/4/2018,2283,2980,2430
1,5,19,Jowar,Hybrid,1/4/2018,2283,2980,2430
1,5,2,Jowar,Jowar ( White),1/4/2018,2651,3725,2450
1,4,,Maize,,1/4/2018,1078,1504,1700
1,28,,Bajra,,1/4/2018,3195,3898,1950
2,49,,Tur,,1/4/2018,5493,117,5675
2,9,,Greengram,,1/4/2018,4379,5786,6975
2,8,,Blackgram,,1/4/2018,5482,6894,5600
2,6,,Bengal gram,,1/4/2018,4609,5775,4620
3,10,,Groundnut,,1/4/2018,4297,5729,4890
3,13,,Soybean,,1/4/2018,3541,4522,3399
3,14,,Sunflower,,1/4/2018,4619,5991,5388
4,15,,Cotton,,1/4/2018,4098,5454,5450
7,132,,Dry Chillies,,1/4/2018,6358,8678,
6,78,,Tomato,,1/4/2018,767,1009,
6,23,,Onion,,1/4/2018,745,1093,
6,24,,Potato,,1/4/2018,1499,1872,
5,19,12,Banana,Elakki Bale,1/4/2018,884,1914,
5,19,11,Banana,Pachha Bale,1/4/2018,285,1114,
5,22,4,Grapes,White,1/4/2018,1239,2317,
5,22,3,Grapes,Green,1/4/2017,1239,2317,
5,22,999,Grapes,Other,1/4/2018,4355,9217,
5,22,2,Grapes,Black,1/4/2018,931,1651,
5,190,,Pomagranate,,1/4/2018,1903,3298,
5,20,,Mango,,1/4/2018,972,1540,
10,37,,Coconut,,1/4/2018,8,13,
3,129,,Copra,,1/4/2018,7587,11174,9920
11,140,1,Arecanut,Red,1/4/2018,11744,22720,
11,140,2,Arecanut,White,1/4/2018,10095,20315,
7,27,,Ginger,,1/4/2018,1568,2094,
7,39,,Turmeric,,1/4/2018,2974,5416,
7,38,,Pepper,,1/4/2018,27110,43277,
