maincomm_code,Comm_code,Variety_code,Commodity,Variety,Start_date,MSP,CostA1FL,TotalC3
11,140,16,Arecanut,Rashi,1/4/2015,,14853,24843
11,140,16,Arecanut,Rashi,1/4/2016,,12688,25047
11,140,16,Arecanut,Rashi,1/4/2017,,,
11,140,25,Arecanut,Chali,1/4/2015,,11110,18583
11,140,28,Arecanut,Hosa Chali,1/4/2015,,11110,18583
11,140,29,Arecanut,Hale Chali,1/4/2015,,11110,18583
11,140,25,Arecanut,Chali,1/4/2016,,10662,22835
11,140,28,Arecanut,Hosa Chali,1/4/2016,,10662,22835
11,140,29,Arecanut,Hale Chali,1/4/2016,,10662,22835
11,140,25,Arecanut,Chali,1/4/2017,,,
11,140,28,Arecanut,Hosa Chali,1/4/2017,,,
11,140,29,Arecanut,Hale Chali,1/4/2017,,,
1,28,,Bajra,All,1/4/2007,600,,
1,28,,Bajra,All,1/4/2008,840,,
1,28,,Bajra,All,1/4/2009,840,,
1,28,,Bajra,All,1/4/2010,880,,
1,28,,Bajra,All,1/4/2011,980,,
1,28,,Bajra,All,1/4/2012,1175,,
1,28,,Bajra,All,1/4/2013,1250,,
1,28,,Bajra,All,1/4/2014,1250,1639,2324
1,28,,Bajra,All,1/4/2015,1275,2762,3654
1,28,,Bajra,All,1/4/2016,1330,2443,3374
1,28,,Bajra,All,1/4/2017,1425,,
5,19,11,Banana,PACHHA BALE,1/4/2015,,382,692
5,19,11,Banana,PACHHA BALE,1/4/2016,,343,798
5,19,11,Banana,PACHHA BALE,1/4/2017,,,
5,19,12,Banana,ELAKKI BALE,1/4/2015,,753,1430
5,19,12,Banana,ELAKKI BALE,1/4/2016,,1211,2185
5,19,12,Banana,ELAKKI BALE,1/4/2017,,,
1,29,,Barley,All,1/4/2007,650,,
1,29,,Barley,All,1/4/2008,680,,
1,29,,Barley,All,1/4/2009,750,,
1,29,,Barley,All,1/4/2010,780,,
1,29,,Barley,All,1/4/2011,980,,
1,29,,Barley,All,1/4/2012,980,,
1,29,,Barley,All,1/4/2013,1100,,
1,29,,Barley,All,1/4/2014,1150,,
1,29,,Barley,All,1/4/2015,1225,,
1,29,,Barley,All,1/4/2016,1325,,
10,37,,Coconut*,All,1/4/2015,,12000,16000
10,37,,Coconut*,All,1/4/2016,,10000,17000
10,37,,Coconut*,All,1/4/2017,,,
3,129,5,Copra,Ball,1/4/2007,3910,,
3,129,5,Copra,Ball,1/4/2008,4700,,
3,129,5,Copra,Ball,1/4/2009,4700,,
3,129,5,Copra,Ball,1/4/2010,4775,,
3,129,5,Copra,Ball,1/4/2011,5350,,
3,129,5,Copra,Ball,1/4/2012,5500,,
3,129,5,Copra,Ball,1/4/2013,6500,,
3,129,5,Copra,Ball,1/4/2014,5830,,
3,129,5,Copra,Ball,1/4/2015,6240,8913,11529
3,129,5,Copra,Ball,1/4/2016,7785,6685,10177
3,129,5,Copra,Ball,1/4/2017,7785,,
3,129,6,Copra,Milling,1/4/2007,3660,,
3,129,6,Copra,Milling,1/4/2008,4450,,
3,129,6,Copra,Milling,1/4/2009,4450,,
3,129,6,Copra,Milling,1/4/2010,4525,,
3,129,6,Copra,Milling,1/4/2011,5100,,
3,129,6,Copra,Milling,1/4/2012,5250,,
3,129,6,Copra,Milling,1/4/2013,5250,,
3,129,6,Copra,Milling,1/4/2014,5550,,
3,129,6,Copra,Milling,1/4/2015,5950,,
3,129,6,Copra,Milling,1/4/2016,6500,,
7,132,,Dry chillies,All,1/4/2014,,7598,11679
