maincomm_code,Comm_code,Variety_code,Commodity,Start_date,MSP,CostA1FL,TotalC3,,,
1,2,,Paddy ,1/4/2007,675,,,,,1.001390869
1,2,,Paddy ,1/4/2008,880,,,,,
1,2,,Paddy ,1/4/2009,1030,,,,,
1,2,,Paddy ,1/4/2010,1030,,,,,
1,2,,Paddy ,1/4/2011,1110,,,,,
1,2,,Paddy ,1/4/2012,1280,,,,,
1,2,,Paddy ,1/4/2013,1635,,,,,
1,2,,Paddy ,1/4/2014,1400,,,,,
1,2,,Paddy ,1/4/2015,1550,1030,1671,,,
1,2,,Paddy ,1/4/2016,1510,1144,1834,,,
1,2,,Paddy ,1/4/2017,1590,1150,1912,,,
1,5,2,Jowar White,1/4/2007,620,,,,,
1,5,2,Jowar White,1/4/2008,860,,,,,
1,5,2,Jowar White,1/4/2009,860,,,,,
1,5,2,Jowar White,1/4/2010,900,,,,,
1,5,2,Jowar White,1/4/2011,1000,,,,,
1,5,2,Jowar White,1/4/2012,1520,,,,,
1,5,2,Jowar White,1/4/2013,1520,,,,,
1,5,2,Jowar White,1/4/2014,2300,,,,,
1,5,2,Jowar White,1/4/2015,2100,1712,2922,,,
1,5,2,Jowar White,1/4/2016,1650,2000,3422,,,
1,5,2,Jowar White,1/4/2017,2125,2222,3839,,,
1,5,3,Jowar (Yellow),1/4/2007,600,,,,,
1,5,3,Jowar (Yellow),1/4/2008,840,,,,,
1,5,3,Jowar (Yellow),1/4/2009,840,,,,,
1,5,3,Jowar (Yellow),1/4/2010,880,,,,,
1,5,3,Jowar (Yellow),1/4/2011,980,,,,,
1,5,3,Jowar (Yellow),1/4/2012,1500,,,,,
1,5,3,Jowar (Yellow),1/4/2013,1500,,,,,
1,5,3,Jowar (Yellow),1/4/2014,2280,,,,,
1,5,3,Jowar (Yellow),1/4/2015,2080,1307,1919,,,
1,5,3,Jowar (Yellow),1/4/2016,1625,1619,2384,,,
1,5,3,Jowar (Yellow),1/4/2017,2100,1937,2784,,,
1,5,4,Jowar (Local),1/4/2007,600,,,,,
1,5,4,Jowar (Local),1/4/2008,840,,,,,
1,5,4,Jowar (Local),1/4/2009,840,,,,,
1,5,4,Jowar (Local),1/4/2010,880,,,,,
1,5,4,Jowar (Local),1/4/2011,980,,,,,
1,5,4,Jowar (Local),1/4/2012,1500,,,,,
1,5,4,Jowar (Local),1/4/2013,1500,,,,,
1,5,4,Jowar (Local),1/4/2014,2280,,,,,
1,5,4,Jowar (Local),1/4/2015,2080,1307,1919,,,
1,5,4,Jowar (Local),1/4/2016,1625,1619,2384,,,
1,5,4,Jowar (Local),1/4/2017,2100,1937,2784,,,
1,5,5,Jowar (LRA),1/4/2007,600,,,,,
1,5,5,Jowar (LRA),1/4/2008,840,,,,,
1,5,5,Jowar (LRA),1/4/2009,840,,,,,
1,5,5,Jowar (LRA),1/4/2010,880,,,,,
1,5,5,Jowar (LRA),1/4/2011,980,,,,,
1,5,5,Jowar (LRA),1/4/2012,1500,,,,,
1,5,5,Jowar (LRA),1/4/2013,1500,,,,,
1,5,5,Jowar (LRA),1/4/2014,2280,,,,,
1,5,5,Jowar (LRA),1/4/2015,2080,1307,1919,,,
1,5,5,Jowar (LRA),1/4/2016,1625,1619,2384,,,
1,5,5,Jowar (LRA),1/4/2017,2100,1937,2784,,,
1,5,7,Jowar Hybrid,1/4/2007,600,,,,,
1,5,7,Jowar Hybrid,1/4/2008,840,,,,,
1,5,7,Jowar Hybrid,1/4/2009,840,,,,,
1,5,7,Jowar Hybrid,1/4/2010,880,,,,,
1,5,7,Jowar Hybrid,1/4/2011,980,,,,,
1,5,7,Jowar Hybrid,1/4/2012,1500,,,,,
1,5,7,Jowar Hybrid,1/4/2013,1500,,,,,
1,5,7,Jowar Hybrid,1/4/2014,2280,,,,,
1,5,7,Jowar Hybrid,1/4/2015,2080,1307,1919,,,
1,5,7,Jowar Hybrid,1/4/2016,1625,1619,2384,,,
1,5,7,Jowar Hybrid,1/4/2017,2100,1937,2784,,,
1,5,8,Jowar (Kesari),1/4/2007,600,,,,,
1,5,8,Jowar (Kesari),1/4/2008,840,,,,,
1,5,8,Jowar (Kesari),1/4/2009,840,,,,,
1,5,8,Jowar (Kesari),1/4/2010,880,,,,,
1,5,8,Jowar (Kesari),1/4/2011,980,,,,,
1,5,8,Jowar (Kesari),1/4/2012,1500,,,,,
1,5,8,Jowar (Kesari),1/4/2013,1500,,,,,
1,5,8,Jowar (Kesari),1/4/2014,2280,,,,,
1,5,8,Jowar (Kesari),1/4/2015,2080,1307,1919,,,
1,5,8,Jowar (Kesari),1/4/2016,1625,1619,2384,,,
1,5,8,Jowar (Kesari),1/4/2017,2100,1937,2784,,,
1,5,9,Jowar (Red),1/4/2007,600,,,,,
1,5,9,Jowar (Red),1/4/2008,840,,,,,
1,5,9,Jowar (Red),1/4/2009,840,,,,,
1,5,9,Jowar (Red),1/4/2010,880,,,,,
1,5,9,Jowar (Red),1/4/2011,980,,,,,
1,5,9,Jowar (Red),1/4/2012,1500,,,,,
1,5,9,Jowar (Red),1/4/2013,1500,,,,,
1,5,9,Jowar (Red),1/4/2014,2280,,,,,
1,5,9,Jowar (Red),1/4/2015,2080,1307,1919,,,
1,5,9,Jowar (Red),1/4/2016,1625,1619,2384,,,
1,5,9,Jowar (Red),1/4/2017,2100,1937,2784,,,
1,5,10,Jowar (Rabi),1/4/2007,600,,,,,
1,5,10,Jowar (Rabi),1/4/2008,840,,,,,
1,5,10,Jowar (Rabi),1/4/2009,840,,,,,
1,5,10,Jowar (Rabi),1/4/2010,880,,,,,
1,5,10,Jowar (Rabi),1/4/2011,980,,,,,
1,5,10,Jowar (Rabi),1/4/2012,1500,,,,,
1,5,10,Jowar (Rabi),1/4/2013,1500,,,,,
1,5,10,Jowar (Rabi),1/4/2014,2280,,,,,
1,5,10,Jowar (Rabi),1/4/2015,2080,1307,1919,,,
1,5,10,Jowar (Rabi),1/4/2016,1625,1619,2384,,,
1,5,10,Jowar (Rabi),1/4/2017,2100,1937,2784,,,
1,5,11,Jowar (H.B),1/4/2007,600,,,,,
1,5,11,Jowar (H.B),1/4/2008,840,,,,,
1,5,11,Jowar (H.B),1/4/2009,840,,,,,
1,5,11,Jowar (H.B),1/4/2010,880,,,,,
1,5,11,Jowar (H.B),1/4/2011,980,,,,,
1,5,11,Jowar (H.B),1/4/2012,1500,,,,,
1,5,11,Jowar (H.B),1/4/2013,1500,,,,,
1,5,11,Jowar (H.B),1/4/2014,2280,,,,,
1,5,11,Jowar (H.B),1/4/2015,2080,1307,1919,,,
1,5,11,Jowar (H.B),1/4/2016,1625,1619,2384,,,
1,5,11,Jowar (H.B),1/4/2017,2100,1937,2784,,,
1,5,12,Jowar (Mungari),1/4/2007,600,,,,,
1,5,12,Jowar (Mungari),1/4/2008,840,,,,,
1,5,12,Jowar (Mungari),1/4/2009,840,,,,,
1,5,12,Jowar (Mungari),1/4/2010,880,,,,,
1,5,12,Jowar (Mungari),1/4/2011,980,,,,,
1,5,12,Jowar (Mungari),1/4/2012,1500,,,,,
1,5,12,Jowar (Mungari),1/4/2013,1500,,,,,
1,5,12,Jowar (Mungari),1/4/2014,2280,,,,,
1,5,12,Jowar (Mungari),1/4/2015,2080,1307,1919,,,
1,5,12,Jowar (Mungari),1/4/2016,1625,1619,2384,,,
1,5,12,Jowar (Mungari),1/4/2017,2100,1937,2784,,,
1,5,13,Jowar (Bijapur),1/4/2007,600,,,,,
1,5,13,Jowar (Bijapur),1/4/2008,840,,,,,
1,5,13,Jowar (Bijapur),1/4/2009,840,,,,,
1,5,13,Jowar (Bijapur),1/4/2010,880,,,,,
1,5,13,Jowar (Bijapur),1/4/2011,980,,,,,
1,5,13,Jowar (Bijapur),1/4/2012,1500,,,,,
1,5,13,Jowar (Bijapur),1/4/2013,1500,,,,,
1,5,13,Jowar (Bijapur),1/4/2014,2280,,,,,
1,5,13,Jowar (Bijapur),1/4/2015,2080,1307,1919,,,
1,5,13,Jowar (Bijapur),1/4/2016,1625,1619,2384,,,
1,5,13,Jowar (Bijapur),1/4/2017,2100,1937,2784,,,
1,5,14,Jowar (Annigeri),1/4/2007,600,,,,,
1,5,14,Jowar (Annigeri),1/4/2008,840,,,,,
1,5,14,Jowar (Annigeri),1/4/2009,840,,,,,
1,5,14,Jowar (Annigeri),1/4/2010,880,,,,,
1,5,14,Jowar (Annigeri),1/4/2011,980,,,,,
1,5,14,Jowar (Annigeri),1/4/2012,1500,,,,,
1,5,14,Jowar (Annigeri),1/4/2013,1500,,,,,
1,5,14,Jowar (Annigeri),1/4/2014,2280,,,,,
1,5,14,Jowar (Annigeri),1/4/2015,2080,1307,1919,,,
1,5,14,Jowar (Annigeri),1/4/2016,1625,1619,2384,,,
1,5,14,Jowar (Annigeri),1/4/2017,2100,1937,2784,,,
1,5,15,Jowar (Renuka),1/4/2007,600,,,,,
1,5,15,Jowar (Renuka),1/4/2008,840,,,,,
1,5,15,Jowar (Renuka),1/4/2009,840,,,,,
1,5,15,Jowar (Renuka),1/4/2010,880,,,,,
1,5,15,Jowar (Renuka),1/4/2011,980,,,,,
1,5,15,Jowar (Renuka),1/4/2012,1500,,,,,
1,5,15,Jowar (Renuka),1/4/2013,1500,,,,,
1,5,15,Jowar (Renuka),1/4/2014,2280,,,,,
1,5,15,Jowar (Renuka),1/4/2015,2080,1307,1919,,,
1,5,15,Jowar (Renuka),1/4/2016,1625,1619,2384,,,
1,5,15,Jowar (Renuka),1/4/2017,2100,1937,2784,,,
1,5,16,Jowar (Bijapur Fine),1/4/2007,600,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2008,840,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2009,840,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2010,880,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2011,980,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2012,1500,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2013,1500,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2014,2280,,,,,
1,5,16,Jowar (Bijapur Fine),1/4/2015,2080,1307,1919,,,
1,5,16,Jowar (Bijapur Fine),1/4/2016,1625,1619,2384,,,
1,5,16,Jowar (Bijapur Fine),1/4/2017,2100,1937,2784,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2007,600,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2008,840,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2009,840,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2010,880,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2011,980,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2012,1500,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2013,1500,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2014,2280,,,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2015,2080,1307,1919,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2016,1625,1619,2384,,,
1,5,17,Jowar (Bijapur IIIrd),1/4/2017,2100,1937,2784,,,
1,5,18,Jowar (Bijapur Medium),1/4/2007,600,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2008,840,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2009,840,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2010,880,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2011,980,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2012,1500,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2013,1500,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2014,2280,,,,,
1,5,18,Jowar (Bijapur Medium),1/4/2015,2080,1307,1919,,,
1,5,18,Jowar (Bijapur Medium),1/4/2016,1625,1619,2384,,,
1,5,18,Jowar (Bijapur Medium),1/4/2017,2100,1937,2784,,,
1,5,19,Jowar (Hybrid),1/4/2007,600,,,,,
1,5,19,Jowar (Hybrid),1/4/2008,840,,,,,
1,5,19,Jowar (Hybrid),1/4/2009,840,,,,,
1,5,19,Jowar (Hybrid),1/4/2010,880,,,,,
1,5,19,Jowar (Hybrid),1/4/2011,980,,,,,
1,5,19,Jowar (Hybrid),1/4/2012,1500,,,,,
1,5,19,Jowar (Hybrid),1/4/2013,1500,,,,,
1,5,19,Jowar (Hybrid),1/4/2014,2280,,,,,
1,5,19,Jowar (Hybrid),1/4/2015,2080,1307,1919,,,
1,5,19,Jowar (Hybrid),1/4/2016,1625,1619,2384,,,
1,5,19,Jowar (Hybrid),1/4/2017,2100,1937,2784,,,
1,5,999,Jowar (Other),1/4/2007,600,,,,,
1,5,999,Jowar (Other),1/4/2008,840,,,,,
1,5,999,Jowar (Other),1/4/2009,840,,,,,
1,5,999,Jowar (Other),1/4/2010,880,,,,,
1,5,999,Jowar (Other),1/4/2011,980,,,,,
1,5,999,Jowar (Other),1/4/2012,1500,,,,,
1,5,999,Jowar (Other),1/4/2013,1500,,,,,
1,5,999,Jowar (Other),1/4/2014,2280,,,,,
1,5,999,Jowar (Other),1/4/2015,2080,1307,1919,,,
1,5,999,Jowar (Other),1/4/2016,1625,1619,2384,,,
1,5,999,Jowar (Other),1/4/2017,2100,1937,2784,,,
