CommodityGroup,Commodity,Market,Variety,Grade,Model
Cereals,Bajra,BALLARI,Hybrid,Average,Jasma1.1.ETSv1
Cereals,Bajra,BASAVAKALYANA,Local,Average,Ashok1.1BATSv1
Cereals,Bajra,BENGALURU,Hybrid,Average,Ashok2.2.ETSv2
Cereals,Bajra,KALABURAGI,Local,Average,Ashok1.4ETSv4
Cereals,Bajra,KOPPAL,Hybrid,Average,Ashok1.4ETSv4
Cereals,Bajra,KOTTUR,Hybrid,Average,Jasma1.3.ETSv3
Cereals,Bajra,KUSTAGI,Hybrid,Average,Ashok1.1BATSv1
Cereals,Bajra,LINGASARGUR,Hybrid,Average,Ashok1.1BATSv1
Cereals,Bajra,RONA,Hybrid,Average,Jasma1.2.ETSv2
Cereals,Bajra,VIJAYAPURA,Hybrid,Average,Jasma1.3.ETSv3
Cereals,Jowar,ATHANI,Jowar ( White),Average,Ashok2.1.ETSv1
Cereals,Jowar,BALLARI,Jowar Hybrid,Average,Jasma1.4.ETSv4
Cereals,Jowar,BASAVAKALYANA,Hybrid,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Jowar,BASAVAKALYANA,Jowar ( White),Average,Ashok5.1.StructTSv1
Cereals,Jowar,BASAVAKALYANA,Jowar (Yellow),Average,Ashok5.1.StructTSv1
Cereals,Jowar,BELAGAVI,Jowar ( White),Average,Jasma5.1.BaggedModelv1
Cereals,Jowar,BENGALURU,Jowar ( White),Average,Ashok1.1BATSv1
Cereals,Jowar,BIDAR,Jowar ( White),Average,Ashok3.1ARFIMAV1
Cereals,Jowar,GADAG,Jowar ( White),Average,Ashok1.1BATSv1
Cereals,Jowar,KALABURAGI,Jowar ( White),Average,Jasma1.4.ETSv4
Cereals,Jowar,LAXMESHWAR,Jowar ( White),Average,Basic NN
Cereals,Jowar,RAICHUR,Jowar ( White),Average,Jasma1.2.ETSv2
Cereals,Jowar,RAICHUR,Jowar Hybrid,Average,Jasma1.2.ETSv2
Cereals,Jowar,SINDHANUR,Jowar Hybrid,Average,Ashok1.1BATSv1
Cereals,Jowar,VIJAYAPURA,Jowar ( White),Average,Jasma3.1.ARFIMAv1
Cereals,Maize,ARSIKERE,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,ATHANI,Hybrid/Local,Average,Jasma1.1.ETSv1
Cereals,Maize,BAGEPALLI,Other,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Maize,BALLARI,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,BALLARI,Sweet Corn (For Biscuits),Average,Ashok5.1.StructTSv1
Cereals,Maize,BELUR,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,BENGALURU,Hybrid/Local,Average,Ashok3.1ARFIMAV1
Cereals,Maize,BHADRAVATHI,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,CHALLAKERE,Yellow,Average,Jasma1.2.ETSv2
Cereals,Maize,CHIKKAMAGALURU,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,CHITRADURGA,Local,Average,Ashok1.4ETSv4
Cereals,Maize,DAVANAGERE,Local,Average,Ashok1.1BATSv1
Cereals,Maize,DHARWAR,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,DODDABALLAPUR,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,GADAG,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,GOKAK,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,GOWRIBIDNUR,Hybrid/Local,Average,Ashok1.4ETSv4
Cereals,Maize,GUNDLUPET,Local,Average,Ashok.NNFor
Cereals,Maize,HALIYALA,Hybrid/Local,Average,Jasma5.1.BaggedModelv1
Cereals,Maize,HARIHARA,Hybrid/Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,HASSAN,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,HAVERI,Local,Medium,Jasma1.1.ETSv1
Cereals,Maize,HIREKERUR,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,HOLENARASIPUR,Local,Average,Jasma5.1.BaggedModelv1
Cereals,Maize,HOOVINAHADAGALI,Yellow,Average,Ashok3.1.BaggedModelv1
Cereals,Maize,K.R.NAGAR,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,KADUR,Other,Average,Jasma1.1.ETSv1
Cereals,Maize,KALGHATGI,Local,Average,Ashok5.1.StructTSv1
