"","commodity_variety_id","maincomm_code","maincomm_name","comm_code","comm_name","variety_code","variety_name"
"1",20,1,"Cereals",2,"Paddy",7,"I.R. 20"
"2",22,1,"Cereals",2,"Paddy",12,"I.R. 64"
"3",23,1,"Cereals",2,"Paddy",37,"Mangala (MR 272)"
"4",24,1,"Cereals",2,"Paddy",48,"Paddy 1001"
"5",26,1,"Cereals",2,"Paddy",54,"Bangarasanna"
"6",27,1,"Cereals",2,"Paddy",55,"Basumathi"
"7",28,1,"Cereals",2,"Paddy",56,"Coimbatore Kaddi"
"8",30,1,"Cereals",2,"Paddy",58,"Mandyavani"
"9",31,1,"Cereals",2,"Paddy",59,"Puspa (MR 301)"
"10",32,1,"Cereals",2,"Paddy",61,"Sanna Bhatta"
"11",34,1,"Cereals",2,"Paddy",63,"Vani (JET 2295)"
"12",35,1,"Cereals",2,"Paddy",64,"Alur Sanna"
"13",36,1,"Cereals",2,"Paddy",65,"Bellarysanna"
"14",38,1,"Cereals",2,"Paddy",67,"Chintamani Sanna"
"15",39,1,"Cereals",2,"Paddy",68,"China Sanna"
"16",40,1,"Cereals",2,"Paddy",70,"Intan"
"17",42,1,"Cereals",2,"Paddy",72,"Jeerigesanna"
"18",43,1,"Cereals",2,"Paddy",73,"Madhu (MR 136)"
"19",45,1,"Cereals",2,"Paddy",75,"Manila"
"20",46,1,"Cereals",2,"Paddy",76,"Nellore Sanna"
"21",47,1,"Cereals",2,"Paddy",77,"RatnaChudi (5-718 5-749)"
"22",49,1,"Cereals",2,"Paddy",79,"Sambar"
"23",50,1,"Cereals",2,"Paddy",80,"Sanna Anekal"
"24",51,1,"Cereals",2,"Paddy",81,"Sanna Honsu"
"25",53,1,"Cereals",2,"Paddy",83,"Anekowe"
"26",54,1,"Cereals",2,"Paddy",84,"Annapoorna"
"27",55,1,"Cereals",2,"Paddy",85,"Anekombu Sanna"
"28",57,1,"Cereals",2,"Paddy",87,"Bantwal"
"29",58,1,"Cereals",2,"Paddy",88,"Bilekagga"
"30",59,1,"Cereals",2,"Paddy",89,"Byra (Red Rice)"
"31",61,1,"Cereals",2,"Paddy",91,"Farm Kaddi"
"32",62,1,"Cereals",2,"Paddy",92,"Halubbulu (H 137)"
"33",63,1,"Cereals",2,"Paddy",93,"Hassan Dappa"
"34",65,1,"Cereals",2,"Paddy",95,"Jaya"
"35",66,1,"Cereals",2,"Paddy",96,"Kichadi"
"36",67,1,"Cereals",2,"Paddy",97,"Karekagga"
"37",69,1,"Cereals",2,"Paddy",100,"Mull - Bhatte"
"38",70,1,"Cereals",2,"Paddy",101,"Putta - Bhatta ( White rice)"
"39",71,1,"Cereals",2,"Paddy",102,"Padma"
"40",73,1,"Cereals",2,"Paddy",104,"Rasi"
"41",74,1,"Cereals",2,"Paddy",105,"Shakti"
"42",76,1,"Cereals",2,"Paddy",107,"Rajbhog"
"43",77,1,"Cereals",2,"Paddy",108,"Paddy Kaddi"
"44",78,1,"Cereals",2,"Paddy",109,"Paddy Malnad Gidda"
"45",80,1,"Cereals",2,"Paddy",111,"Paddy Sirla"
"46",81,1,"Cereals",2,"Paddy",112,"Paddy Dappa"
"47",82,1,"Cereals",2,"Paddy",113,"Paddy Jyoti"
"48",84,1,"Cereals",2,"Paddy",115,"Paddy Arti - Masuri"
"49",85,1,"Cereals",2,"Paddy",116,"Paddy Fine Variety"
"50",86,1,"Cereals",2,"Paddy",117,"Paddy Medium Variety"
"51",88,1,"Cereals",2,"Paddy",120,"Hansa"
"52",89,1,"Cereals",2,"Paddy",123,"Kesari (Coorg)"
"53",90,1,"Cereals",2,"Paddy",200,"SIRLA"
"54",92,1,"Cereals",2,"Paddy",250,"Sona Masuri Old "
"55",93,1,"Cereals",2,"Paddy",251,"Sona Masuri New"
"56",94,1,"Cereals",2,"Paddy",252,"Sujatha"
"57",95,1,"Cereals",2,"Paddy",253,"Super Sona"
"58",97,1,"Cereals",2,"Paddy",301,"Kaveri sona"
"59",98,1,"Cereals",3,"Rice",43,"Coarse"
"60",100,1,"Cereals",3,"Rice",45,"CR 1009 (Coarse) Boiled"
"61",101,1,"Cereals",3,"Rice",71,"Fine"
"62",102,1,"Cereals",3,"Rice",72,"Fine(Basmati)"
"63",104,1,"Cereals",3,"Rice",75,"H.Y.V."
